year;deflactor;s;d;bp;g;i;r;gdpn;expend;y;pi;ti;oil;radj
1980;0.0067;-0.002861122;0.1244;0.002176618;0.093852172;0.005052195;0.1336646;2072.290883;194.489;0.0408735;0.2658065;112;0.03333;0.089147336
1981;0.0082;-0.026138572;0.1394;-0.019293517;0.115596284;0.007028777;0.148813;2601.331893;300.7043;0.0227687;0.2752294;98.72;-0.09429;0.123238324
1982;0.0102;-0.041886829;0.1623;-0.033806779;0.122183336;0.008433294;0.1812327;3289.212871;401.887;0.0094842;0.2470024;101.23;-0.12658;0.170134907
1983;0.0123;-0.040672888;0.2013;-0.034168444;0.118739202;0.006780216;0.1967811;4032.181395;478.778;0.0157396;0.1948718;102.63;-0.09567;0.178236135
1984;0.0151;-0.042461646;0.2512;-0.035301489;0.123354935;0.007477671;0.2332135;5074.932739;626.018;0.0335068;0.1636266;112.5;-0.02671;0.19323211
1985;0.0188;-0.034249403;0.3051;-0.02757421;0.1085;0.007597118;0.1686573;6528.791485;708.3738761;0.0310711;0.2397418;103.95;-0.04063;0.13344007
1986;0.0243;-0.017025253;0.3513;-0.008877694;0.099;0.00769763;0.1846408;8846.879269;875.8410476;0.0582408;0.1885459;130.56;-0.39747;0.119443514
1987;0.03;-0.005738647;0.3833;0.003526238;0.0968;0.010046342;0.1442669;11466.86029;1109.992077;0.0536893;0.2331039;95;0.01233;0.085962342
1988;0.0383;-0.018571808;0.3519;-0.009227851;0.104;0.0102847;0.1136251;15391.79505;1600.746685;0.0406417;0.2814007;89.77;-0.10475;0.070133073
1989;0.0478;-0.021330911;0.3329;-0.011857631;0.1;0.010318858;0.1361705;19876.22985;1987.622985;0.034141;0.2586139;88.17;0.20748;0.098661111
1990;0.0727;-0.010784193;0.3481;-6.31E-05;0.076074472;0.010837994;0.1679;26370.96185;2006.157;0.04282;0.2913782;81.25;0.28682;0.119943998
1991;0.0924;-0.00281012;0.332;0.008705269;0.083904532;0.01154784;0.1357;34169.7992;2867.001;0.0200161;0.3034844;85.71;-0.15174;0.113413798
1992;0.1133;-0.020735694;0.3022;-0.010779762;0.10069163;0.010166747;0.1027;44199.87743;4450.557692;0.0404493;0.2703056;75.79;0.0392;0.059830594
1993;0.1415;-0.009247144;0.2921;0.001661104;0.09674367;0.011010059;0.0812;58931.94906;5701.293041;0.0538541;0.2244132;78.49;-0.2787;0.025948469
1994;0.1727;-0.012537641;0.2558;-0.0012;0.101722437;0.011481593;0.0565;77147.06044;7847.587;0.0581466;0.2284718;90.82;0.2184;-0.001556117
1995;0.2053;-0.032850246;0.2834;-0.021;0.108138291;0.012252751;0.0505;96403.40992;10424.9;0.0520244;0.2089713;86.79;0.0591;-0.001449016
1996;0.2399;-0.049376034;0.29;-0.032;0.115531569;0.018278556;0.0656;117183.8515;13538.43418;0.0205585;0.2079709;89.81;0.1819;0.044134168
1997;0.2803;-0.043127962;0.2941;-0.024;0.122675045;0.019990094;0.0615;141383.0922;17344.17714;0.0343029;0.1846257;89.91;-0.0478;0.026295102
1998;0.3217;-0.056937733;0.3196;-0.03;0.121540484;0.028564109;0.0764;163598.4593;19883.83589;0.0056978;0.1868126;82.52;-0.2994;0.070301635
1999;0.3624;-0.064269547;0.3956;-0.037707396;0.13589355;0.028386541;0.0772;177038.2612;24058.35773;-0.0420402;0.108734;88.89;0.3742;0.124473073
2000;0.4844;-0.051620982;0.4422;-0.02;0.13170237;0.033342136;0.0667;200762.3038;26440.87128;0.0292486;0.0922257;100;0.5201;0.036387127
2001;0.516;-0.048334652;0.4152;-0.014609953;0.145032226;0.035437561;0.067;219063.3719;31771.24855;0.016779;0.079697;96.68;-0.1264;0.049392247
2002;0.5468;-0.051189607;0.4747;-0.017939646;0.142492486;0.035043842;0.0625;237505.5847;33842.7612;0.0250398;0.0635193;96.48;0.0343;0.036545118
2003;0.5841;-0.041600942;0.4685;-0.005081302;0.136560711;0.038104836;0.0646;268144.0965;36617.94836;0.0391827;0.0713074;98.9;0.1219;0.024458933
2004;0.6266;-0.04409451;0.4294;-0.009717807;0.136448159;0.035962449;0.0568;302514.6512;41277.5671;0.0533302;0.0590126;110.99;0.3466;0.003294124
2005;0.6552;-0.039042847;0.4215;-0.009140716;0.148414977;0.031117029;0.0475;337958;50158.02884;0.0482876;0.0505142;125.97;0.4575;-0.000751321
2006;0.6931;-0.032951819;0.3926;0.002436414;0.144729265;0.036594074;0.0528;381604;55229.26652;0.0671687;0.0429245;131.38;0.1971;-0.013464319
2007;0.7287;-0.025759839;0.3588;0.01040883;0.145841648;0.037125003;0.0509;428506;62494.02137;0.0673819;0.0554514;137.9;0.1179;-0.015441427
2008;0.7851;-0.022207297;0.3564;0.009319768;0.148182944;0.032243097;0.0411;476554;70617.17471;0.033;0.0699855;145.98;0.308;0.007841239
2009;0.8184;-0.040424679;0.3671;-0.011442443;0.163780377;0.03020319;0.0369;501574;82147.97865;0.012;0.0420104;137.94;-0.3439;0.024604743
2010;0.849;-0.037917192;0.3732;-0.011662616;0.146979046;0.02728931;0.0321;544060;79965.41998;0.043;0.0227118;160.12;0.2584;-0.010450623
2011;0.8999;-0.027565096;0.3472;-0.001176336;0.14739434;0.027136789;0.0302;619023;91240.48624;0.074;0.0341759;183.74;0.3919;-0.040782123
2012;0.933;-0.022525632;0.327;0.002482663;0.155055396;0.025584605;0.0274;666507;103345.5067;0.039;0.0316733;173.56;-0.0063;-0.011164581
2013;0.9562;-0.022857773;0.358;-0.000466491;0.167487999;0.02291507;0.024;714093;119602.0079;0.046;0.020181;161.1;-0.0279;-0.021032505
2014;0.9761;-0.02358421;0.3849;-0.001852766;0.169454017;0.022256342;0.0228;762903.1663;129277.0061;0.047;0.0289782;146.59;-0.1007;-0.023113658
2015;1;-0.029520016;0.4205;-0.004620614;0.167960696;0.025656791;0.0257;804692;135156.6282;0.03;0.0499023;110.37;-0.4422;-0.004174757
2016;1.0515;-0.039603958;0.439;-0.011383302;0.161821858;0.029384394;0.0279;863782.014;139778.8107;0.021;0.0751429;109.1;-0.1545;0.00675808
2017;1.1052;-0.035735857;0.4491;-0.007852569;0.163381568;0.028916648;0.0262;920471.346;150388.0516;0.014;0.0431214;127.68;0.2111;0.012031558
2018;1.1458;-0.029995151;0.4861;-0.002964949;0.157314695;0.027866048;0.0243;985931.1092;155101.452;0.027;0.0324023;139.62;0.286;-0.002629017
2019;1.203;-0.023699219;0.4842;0.004606563;0.157871605;0.028992891;0.0241;1062342.834;167713.7678;0.0415333;0.0352549;137.67;-0.0983;-0.016738111
2020;1.22;-0.077120241;0.606;-0.050935467;0.20715172;0.028372899;0.0233;998718.84;206886.3257;-0.076;0.0161;129.24;-0.3556;0.107467532
2021;1.3;-0.069543021;0.608;-0.038182634;0.203937687;0.033704285;0.0259;1177225.4;240080.6254;0.106;0.083;149.87;0.717;-0.072423146
